;top words n1;top words n2;top words n3;top words n4;top words n5;top words n6;top words n7;top words n8;top words n9;top words n10;cluster;size;
22;('portfolio', 0.019);('returns', 0.018);('risk', 0.014);('volatility', 0.014);('return', 0.012);('strategy', 0.012);('portfolios', 0.011);('stock', 0.011);('stocks', 0.01);('market', 0.01);22;910;Finance and Risk Management
52;('bayesian', 0.019);('posterior', 0.016);('distribution', 0.014);('prior', 0.013);('stan', 0.011);('probability', 0.01);('normal', 0.009);('mcmc', 0.009);('likelihood', 0.009);('priors', 0.008);52;733;Statistics 
66;('conference', 0.022);('talks', 0.013);('talk', 0.013);('user', 0.013);('community', 0.012);('consortium', 0.012);('group', 0.012);('meetup', 0.011);('event', 0.01);('meeting', 0.009);66;661;Conferences
51;('game', 0.016);('probability', 0.014);('numbers', 0.014);('puzzle', 0.014);('player', 0.011);('solution', 0.01);('number', 0.01);('sum', 0.009);('problem', 0.009);('sequence', 0.009);51;599;Probabilities problems
36;('map', 0.024);('maps', 0.018);('spatial', 0.018);('raster', 0.011);('leaflet', 0.01);('sf', 0.007);('coordinates', 0.007);('polygons', 0.007);('area', 0.007);('ggmap', 0.007);36;560;Geography and Spatial Data
56;('regression', 0.017);('linear', 0.014);('mathbf', 0.013);('boldsymbol', 0.011);('models', 0.008);('logistic', 0.008);('variable', 0.008);('fit', 0.008);('poisson', 0.008);('survival', 0.008);56;538;Linear Models
50;('ggplot2', 0.024);('ggplot', 0.017);('plot', 0.016);('plots', 0.015);('axis', 0.014);('bar', 0.011);('color', 0.01);('labels', 0.01);('graphics', 0.01);('chart', 0.009);50;497;ggplot2
86;('cran', 0.026);('packages', 0.022);('install', 0.012);('version', 0.009);('dependencies', 0.008);('downloads', 0.008);('installed', 0.007);('devel', 0.007);('github', 0.007);('file', 0.007);86;454;Intall, load and update packages
75;('revolution', 0.047);('analytics', 0.033);('enterprise', 0.023);('sas', 0.018);('webinar', 0.016);('hadoop', 0.014);('big', 0.012);('microsoft', 0.012);('spss', 0.01);('open', 0.009);75;444;Business newsletters and webinars
18;('temperature', 0.014);('stations', 0.009);('climate', 0.008);('weather', 0.008);('station', 0.008);('year', 0.007);('co2', 0.007);('water', 0.007);('solar', 0.006);('energy', 0.006);18;420;Ecology
77;('vector', 0.016);('loop', 0.014);('functions', 0.011);('vectors', 0.011);('list', 0.01);('operator', 0.01);('object', 0.01);('apply', 0.009);('argument', 0.009);('elements', 0.008);77;402;R Tips and Tutorials
16;('shiny', 0.044);('app', 0.034);('ui', 0.024);('server', 0.015);('apps', 0.015);('application', 0.013);('input', 0.011);('reactive', 0.01);('dashboard', 0.01);('user', 0.009);16;397;Shiny apps
5;('players', 0.023);('teams', 0.021);('team', 0.02);('season', 0.018);('league', 0.017);('player', 0.015);('game', 0.014);('football', 0.013);('goals', 0.013);('games', 0.012);5;385;Sports
28;('election', 0.022);('vote', 0.018);('party', 0.015);('voting', 0.014);('census', 0.014);('votes', 0.012);('voters', 0.011);('state', 0.01);('polls', 0.01);('county', 0.01);28;383;Elections
85;('rcpp', 0.079);('release', 0.028);('dirk', 0.019);('changes', 0.015);('page', 0.013);('eddelbuettel', 0.012);('cran', 0.012);('devel', 0.011);('added', 0.011);('originated', 0.011);85;377;Packages Realeses
23;('series', 0.027);('forecast', 0.019);('forecasting', 0.018);('arima', 0.014);('seasonal', 0.012);('forecasts', 0.01);('seasonality', 0.008);('models', 0.008);('demand', 0.007);('prediction', 0.007);23;348;Time series
69;('markdown', 0.037);('knitr', 0.025);('document', 0.025);('latex', 0.024);('rmd', 0.02);('rmarkdown', 0.019);('html', 0.019);('file', 0.015);('chunk', 0.013);('output', 0.013);69;324;Rmarkdown
62;('science', 0.014);('business', 0.011);('scientist', 0.009);('scientists', 0.008);('learning', 0.007);('big', 0.007);('analytics', 0.007);('machine', 0.006);('skills', 0.006);('tools', 0.006);62;305;Data Science and Business
60;('hugo', 0.025);('think', 0.016);('course', 0.015);('yeah', 0.015);('science', 0.014);('datacamp', 0.013);('courses', 0.012);('people', 0.012);('really', 0.012);('lot', 0.011);60;287;Online Courses
68;('book', 0.055);('books', 0.02);('chapter', 0.016);('chapters', 0.013);('edition', 0.012);('programming', 0.011);('practical', 0.01);('science', 0.01);('mining', 0.008);('authors', 0.008);68;228;Books
59;('words', 0.031);('word', 0.026);('text', 0.024);('sentiment', 0.021);('corpus', 0.012);('idf', 0.01);('topic', 0.01);('documents', 0.009);('document', 0.009);('frequency', 0.009);59;226;Sentiment Analysis
81;('frame', 0.032);('columns', 0.019);('column', 0.019);('frames', 0.017);('rows', 0.015);('row', 0.014);('names', 0.014);('variables', 0.01);('variable', 0.009);('table', 0.009);81;215;Dataframes
19;('covid', 0.028);('19', 0.023);('cases', 0.017);('deaths', 0.014);('vaccine', 0.012);('pandemic', 0.012);('countries', 0.01);('virus', 0.009);('2020', 0.008);('mortality', 0.008);19;211;Covid19
0;('ephemera', 0.331);('lorem', 0.264);('ipsum', 0.257);('aki', 0.242);('edits', 0.199);('read', 0.179);('ps', 0.177);('town', 0.161);('rickert', 0.16);('joseph', 0.156);0;202;Empty texts
76;('parallel', 0.04);('cores', 0.02);('foreach', 0.019);('gpu', 0.015);('memory', 0.013);('cluster', 0.011);('cpu', 0.01);('parallelization', 0.01);('computing', 0.01);('processing', 0.01);76;186;Parallezation
82;('rstudio', 0.051);('addin', 0.016);('addins', 0.015);('ide', 0.013);('install', 0.013);('shortcuts', 0.012);('pane', 0.011);('ctrl', 0.011);('console', 0.01);('tab', 0.01);82;184;Rstudio
58;('tweets', 0.048);('twitter', 0.042);('tweet', 0.027);('followers', 0.019);('najib', 0.014);('razak', 0.013);('words', 0.011);('rt', 0.01);('hashtag', 0.01);('retweets', 0.009);58;176;Twitter
41;('neural', 0.029);('deep', 0.025);('network', 0.02);('layer', 0.02);('keras', 0.018);('learning', 0.018);('networks', 0.016);('layers', 0.014);('tensorflow', 0.013);('training', 0.013);41;175;Deep Learning
27;('bike', 0.021);('crime', 0.018);('taxi', 0.017);('citi', 0.017);('bikes', 0.015);('trips', 0.013);('city', 0.012);('trip', 0.01);('accidents', 0.01);('taxis', 0.009);27;163;Transports
8;('ropensci', 0.043);('review', 0.02);('software', 0.016);('community', 0.015);('peer', 0.013);('reviewers', 0.01);('submitted', 0.009);('packages', 0.009);('open', 0.008);('doi', 0.008);8;159;rOpenSci
55;('test', 0.033);('hypothesis', 0.023);('anova', 0.022);('null', 0.018);('tests', 0.014);('power', 0.013);('significance', 0.013);('sample', 0.012);('significant', 0.012);('effect', 0.012);55;158;Hypothesis testing
74;('language', 0.013);('programming', 0.012);('learn', 0.008);('learning', 0.007);('statistical', 0.007);('software', 0.006);('packages', 0.006);('functions', 0.006);('statistics', 0.006);('students', 0.006);74;152;Piping
