title	link	date	author	text	comment_rbloggers
New material on the GGobi book web page	https://www.r-bloggers.com/2008/01/new-material-on-the-ggobi-book-web-page/	January 30, 2008	Di Cook		 0 Comments
The hammer, or the sledgehammer? A small study in simulation	https://www.r-bloggers.com/2008/01/the-hammer-or-the-sledgehammer-a-small-study-in-simulation/	January 29, 2008	John Johnson		 0 Comments
Shading overlapping area of curves in R	https://www.r-bloggers.com/2008/01/shading-overlapping-area-of-curves-in-r/	January 28, 2008	Yu-Sung Su		 0 Comments
Heuristics for statistics	https://www.r-bloggers.com/2008/01/heuristics-for-statistics/	January 28, 2008	dan	SIMPLE WAYS TO DETECT AND COMMUNICATE STATISTICAL EFFECTS  Decision Science News is fond of heuristics and the Simonian view that for many problems organisms face, optimization is a fiction and satisficing makes us smart.  Statistics is an area in which it is easy to see precision that isn’t there and find “optima” in problems that lack them.  It can be refreshing to look at a problem in a simplified form to get a feeling for what is going on before obsessing over insignificant digits. Andrew Gelman is previewing a few working papers on rules of thumb that make it easy to detect and communicate statistical effects. “Recommended reading,” says Decision Science News, quoting itself. Mini Talk on Simple Statistical Methods Splitting a predictor at the upper quarter or third and the lower quarter or third Scaling regression inputs by dividing by two standard deviations Photo credit: http://www.flickr.com/photo_zoom.gne?id=327299636 	 0 Comments
Hack-at-it 2007	https://www.r-bloggers.com/2008/01/hack-at-it-2007/	January 28, 2008	Di Cook		 0 Comments
ERGMs in R	https://www.r-bloggers.com/2008/01/ergms-in-r/	January 23, 2008	Michal	Developers of statnet, a collection of packages for R for fitting Exponential Random Graph Models (ERGM), issued a major update. First change is that the main package is now called ergm. Secondly, a set of additional packages has been made available. Apart from package network, that provides a class system for relational data on which statnet relies, there are couple of new ones, for example rSonia and dynamicnetwork facilitating work with the SONIA visualizer of network dynamics, but also many more. And, last but not least, thirdly, (almost) all of them are now available on CRAN websites. Another interesting news is the forthcoming special issue of Journal of Statistical Software which is going to be devoted to these new developments. Preliminary versions of the articles are already available on statnet website. I especially welcome the paper by Carter Butts that throughly explains the functionality of the network package that has been available already for some time, but scarce on-line documentation made the conscious use very difficult. 	 0 Comments
Resources for S4 classes and methods	https://www.r-bloggers.com/2008/01/resources-for-s4-classes-and-methods/	January 23, 2008	Michal	"Learning the programming in the new S4 system of classes and methods in R can be quite cumbersome, even though the methods package is very well documented. That is why I collected some of the info and materials that I am aware of on a separate page here. I warmly welcome any suggestions for extending this, for now short, collection! Where to look for information on programming with S4 system of classes and methods for R? Here is a open-ended collection of links to resources on learning programming in S4 system. Suggestions more than welcome!
 Books Articles and notes Presentation slides Links Packages Sometimes it is worthwhile to look at the source code of the available packages and learn from that. Here is are the packages that can be instructive: stats4, lme4. "	 0 Comments
GillespieSSA 0.5-1 is released	https://www.r-bloggers.com/2008/01/gillespiessa-0-5-1-is-released/	January 15, 2008	Mario Pineda-Krch	I just uploaded GillespieSSA 0.5-1 to CRAN. Now it’s just a matter of days before it has propagated itself across all CRAN mirrors. This version consists primarily of revisions I made in response to the reviewer comments on the paper where the package is introduced (submitted to the Journal of Statistical Software). There are some minor changes in the functionality of the ssa.plot() function but otherwise the changes consists entirely of buglet fixes and improvements to the documentation. One of the more interesting comments I got addressed the use of a character vector to pass the propensity functions to the wrapper function ssa(). For example, normally one would define the propensity functions for a logistic growth model as  This is the way it would be defined if the simulation is invoked using the higher level wrapper function ssa(). One can, however, also pass the propensity vector as a function by directly invoking the lower-level method function (ssa.d, ssa.btl, ssa.etl, ssa.otl, …). For the logistic growth model this could be done like so, The obvious advantage of this approach is that the propensity vector is simpler to define and maintain throughout the simulation. It is also likely that the simulation would run faster (or at least being simpler to optimize) without the extra over head imposed by the higher-level wrapper function. The disadvantage is that setting up the simulation is a tad more involved since one has to “manually” update the state vector, time variable and collect the output data (which, by the way, the above routine does not do).  Perhaps the most interesting consequence of directly invoking the lower-level method functions is that one now can vary the parameters of the model during the simulation allowing for temporal environmental heterogeneity, e.g. varying vital rates and carrying capacity over time. 	 0 Comments
Moving average/median	https://www.r-bloggers.com/2008/01/moving-averagemedian/	January 7, 2008	vikasrawal	?rollmean (package=zoo)?rollmedian (package=zoo)?runmed (package=stats) 	 0 Comments
Quantile regression in R	https://www.r-bloggers.com/2008/01/quantile-regression-in-r/	January 5, 2008	dataninja	Roger Koenker, a quantile regression crusader, has an R package that implements the procedure. It is called quantreg, and it is documented here. This package has apparently been around for quite some time, but I was only recently turned on to quantile regression, so it was under my radar. 	 0 Comments
